System,Run Status,Comparable Result,Completed Hours,Expected Hours,Workload Source,Trace Window Start,Hardware Profile,Processor Model,Accelerator Model,Processing Unit,Servers per Cluster,Total Server Count,Capacity per Server,Server Idle Power (kW),Server Maximum Power (kW),GPU Server Count,GPUs per GPU Server,Total GPU Capacity,GPU Idle Power (kW),GPU Maximum Power (kW),Total Energy (kWh),IT Energy (kWh),CPU Server Energy (kWh),Accelerator Energy (kWh),Cooling Energy (kWh),Grid Energy (kWh),Solar Used (kWh),Solar to Load (kWh),Solar to Battery (kWh),Solar Curtailed (kWh),Grid to Load (kWh),Grid to Battery (kWh),Battery Discharge (kWh),Battery Charge (kWh),Battery CAPEX ($/kWh),Battery Cycle Life,Battery Wear Cost ($/kWh discharged),Grid Electricity Cost,Battery Degradation Cost,Counterfactual Grid Cost Without Battery,Battery Net Saving vs Grid,Equivalent Full Cycles,Unmet Workload (fraction-hours),Cost,Total Cost,Peak Total Power (kW),Peak Grid Power (kW),Average PUE,Average Temperature (C),Max Temperature (C),Temperature Violations,Power Cap Violations,Operating Limit Violations,Maximum Power Risk Ratio,Batch Deadline Missed CPU-Hours,Average Batch Backlog CPU,Final Batch Backlog CPU,GPU Work Scheduled (GPU-hours),Peak Requested Average GPUs,Unmet GPU Demand (GPU-hours),Minimum SOC,Maximum SOC,Final SOC,Average Agent Response Time (s),Max Agent Response Time (s),Agent Timeouts,Fallback Uses,Scheduling AI Skips,Cooling AI Skips,Battery AI Skips,Complete CrewAI Skips,Prompt Tokens,Completion Tokens,Total Tokens
Rule-Based EMS,COMPLETE,True,24,24,cloud_trace,2024-01-01T00:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,33.937269336115264,19.673788785020665,19.441094701133867,0.23269408388679863,14.263480551094597,22.396258035551284,58.51416334116053,8.51416334116053,50.0,321.27354229509706,22.396258035551284,0.0,3.026847959403448,50.0,400.0,10000,0.04953560371517028,4.479251607110257,0.14993674102308102,5.750527750059705,1.1213394019263672,0.012494728418590086,2.220446049250313e-19,4.629188348133338,4.629188348133338,15.26887671142853,15.26887671142853,1.7249991705692502,21.457223846430935,22.028761364634928,0,0,0,0.20358502281904708,0.0,0.0,0.0,0.2582445775980931,0.2582445775980931,0.0,0.7,0.8583333333333331,0.8477128141775314,,,,,,,,,,,
Fixed Optimisation,COMPLETE,True,24,24,cloud_trace,2024-01-01T00:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,23.37620828759752,19.673788785020665,19.441094701133867,0.23269408388679863,3.702419502576855,0.0,95.35890719060404,8.51416334116053,86.8447438494435,284.4287984456535,0.0,0.0,14.862044946436988,86.8447438494435,400.0,10000,0.04953560371517028,0.0,0.7362003688637518,4.130272373270942,3.39407200440719,0.061350030738645984,2.220446049250313e-19,0.7362003688637518,0.7362003688637518,1.9613186333327777,0.0,1.188190467176095,21.494219545138264,21.99681494951288,0,0,0,0.026150915111103703,0.0,0.0,0.0,0.2582445775980931,0.2582445775980931,0.0,0.6749916444767622,0.95,0.9228608293953885,,,,,,,,,,,
RL Controller,COMPLETE,True,24,24,cloud_trace,2024-01-01T00:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,23.87620828759752,19.673788785020665,19.441094701133867,0.23269408388679863,4.202419502576855,9.799029564693607,68.51416334116054,8.51416334116053,60.0,311.273542295097,9.799029564693607,0.0,5.563015381743384,60.0,400.0,10000,0.04953560371517028,1.9598059129387213,0.27556732541143697,4.296272373270943,2.060899134920784,0.022963943784286414,2.220446049250313e-19,2.2353732383501583,2.2353732383501583,2.0613186333327778,2.0260105302797156,1.2136049923325656,21.494219545138264,21.99681494951288,0,0,0,0.027484248444437035,0.0,0.0,0.0,0.2582445775980931,0.2582445775980931,0.0,0.7,0.8899999999999999,0.8704806477833564,,,,,,,,,,,
CrewAI Four-Agent,COMPLETE,True,24,24,cloud_trace,2024-01-01T00:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,62.62428608113994,21.67351789489396,21.44082381100716,0.2326940838867986,40.95076818624598,33.243781073068135,108.3278734291244,29.3805050080718,78.9473684210526,271.4598322071331,33.243781073068135,0.0,0.0,78.9473684210526,400.0,10000,0.04953560371517028,9.697841598318337,0.0,9.697841598318337,0.0,0.0,8.326672684688674e-20,9.697841598318337,9.697841598318337,5.931992605724586,4.435421492151332,2.8894379945534148,21.02291501210402,21.15604625357642,0,0,0,0.07909323474299448,0.0,0.11008512409883885,0.01354450633532478,0.25824457759809305,0.25824457759809305,0.0,0.7,0.95,0.95,51.45487515416365,104.09390439998242,0.0,0.0,3.0,1.0,1.0,0.0,187742.0,14824.0,202566.0
CrewAI Three-Agent,COMPLETE,True,24,24,cloud_trace,2024-01-01T00:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,65.10464111512438,24.738392624686732,24.435698540799933,0.30269408388679864,40.36624849043764,32.10032648847189,111.9516830477051,33.00431462665249,78.9473684210526,267.83602258855245,32.10032648847189,0.0,0.0,78.9473684210526,400.0,10000,0.04953560371517028,9.349379581548611,0.0,9.349379581548611,0.0,0.0,2.7755575615628914e-20,9.349379581548611,9.349379581548611,7.272127407377088,4.121284688482517,2.6317247891908586,21.049922899946154,21.25533663399392,0,0,0,0.09696169876502783,0.0,1.3006916140769562,0.2698080166966641,0.25824457759809305,0.1306998761977518,0.0,0.7,0.95,0.95,42.876183483332476,118.93998510000529,0.0,0.0,0.0,0.0,0.0,0.0,126360.0,11160.0,137520.0
CrewAI Two-Agent,COMPLETE,True,24,24,cloud_trace,2024-01-01T00:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,65.83971308673873,24.738392624686732,24.435698540799933,0.30269408388679864,41.101320462051994,29.6982226658095,115.08885884198189,36.14149042092923,78.94736842105264,264.6988467942757,29.6982226658095,0.0,0.0,78.94736842105264,400.0,10000,0.04953560371517028,8.588920773450564,0.0,8.588920773450564,0.0,0.0,1.1102230246251566e-19,8.588920773450564,8.588920773450564,4.275153911631957,3.443457075011195,2.661438602160292,21.016540084842912,21.095550977606212,0,0,0,0.05700205215509276,0.0,1.5542436992165964,0.2698080166966641,0.25824457759809305,0.1306998761977518,0.0,0.7,0.95,0.95,30.308378387497214,60.18370130000403,0.0,0.0,0.0,0.0,0.0,0.0,73344.0,5904.0,79248.0
CrewAI Single-Agent,COMPLETE,True,24,24,cloud_trace,2024-01-01T00:00:00,General cloud CPU/GPU cluster,Assumed 20-core server processor,NVIDIA H100 SXM (assumed),CPU-core equivalent,5,50,20.0,0.2,0.6,5,8,40,0.07,0.7,48.0956478755117,23.673520563336773,23.440826479449974,0.23269408388679863,24.422127312174936,13.587535076597419,105.08626891398696,26.13890049293434,78.94736842105262,274.7014367222706,13.587535076597419,0.0,8.369212305979945,78.94736842105262,400.0,10000,0.04953560371517028,3.134273167553222,0.41457398419714897,6.649342336064798,3.100495184314428,0.03454783201642908,1.1102230246251566e-19,3.548847151750371,3.548847151750371,3.9005337600296226,2.3696423103441826,2.0316221132735754,21.336881758785598,21.49998399679891,0,0,0,0.052007116800394965,0.0,0.04460135347591198,0.01341108419473653,0.2582445775980931,0.2582445775980931,0.0,0.7,0.95,0.9206343427860353,25.76548002916752,65.23871999999392,0.0,0.0,1.0,0.0,0.0,0.0,30729.0,2094.0,32823.0
