hour,timestep_h,workload,workload_cpu_units,total_cpu_capacity,assigned_workload,assigned_workload_cpu_units,unmet_workload,unmet_workload_cpu_units,interactive_workload_cpu_units,batch_arrival_cpu_units,batch_served_cpu_units,batch_backlog_cpu_units,batch_deadline_missed_cpu_units,agent_response_time_s,agent_timed_out,fallback_used,agentic_architecture,agent_prompt_tokens,agent_completion_tokens,agent_total_tokens,IT_power_kw,cooling_power_kw,cooling_heat_removed_kw,effective_cooling_cop,cooling_setpoint_C,ambient_temperature_C,total_power_kw,IT_energy_kwh,cooling_energy_kwh,total_energy_kwh,solar_kw,solar_used_kwh,solar_to_load_kwh,solar_to_battery_kwh,solar_curtailed_kwh,battery_command_kw,battery_power_kw,battery_discharge_kwh,battery_charge_kwh,battery_SOC,grid_power_kw,facility_power_capacity_kw,power_risk_ratio,power_risk_level,power_cap_violation,grid_energy_kwh,grid_to_load_kwh,grid_to_battery_kwh,temperature_C,temperature_violation,electricity_price,cost,pue
10,1.0,0.675,675.0,1000.0,0.675,675.0,0.0,0.0,472.49999999999994,202.50000000000006,202.50000000000006,0,0.0,0.0,0,0,not_applicable,0,0,0,23.499999999999996,8.51538954793203,25.0,3.1189999999999998,22.0,29.5,32.015389547932024,23.499999999999996,8.51538954793203,32.015389547932024,43.30127018922193,43.30127018922193,32.015389547932024,11.285880641289907,0.0,-30.0,-30.0,0.0,30.0,0.8899999999999999,18.714119358710093,35.0,0.9147254156552007,warning,0,18.714119358710093,0.0,18.714119358710093,21.0196875,0,0.3,5.614235807613028,1.3623570020396607
11,1.0,0.7267766952966369,726.776695296637,1000.0,0.7267766952966369,726.776695296637,0.0,0.0,508.74368670764585,218.0330085889911,218.0330085889911,0,0.0,0.0,0,0,not_applicable,0,0,0,24.535533905932734,8.596028004184488,25.0,3.087933982822018,22.0,30.535533905932738,33.13156191011722,24.535533905932734,8.596028004184488,33.13156191011722,48.29629131445341,33.13156191011722,33.13156191011722,0.0,15.164729404336192,0.0,0.0,0.0,0.0,0.8899999999999999,0.0,35.0,0.9466160545747777,warning,0,0.0,0.0,0.0,21.05802100517003,0,0.3,0.0,1.3503501508115114
12,1.0,0.7665063509461096,766.5063509461096,1000.0,0.7665063509461096,766.5063509461096,0.0,0.0,536.5544456622766,229.95190528383296,229.95190528383296,0,0.0,0.0,0,0,not_applicable,0,0,0,25.330127018922187,8.65901279020604,25.0,3.064096189432334,22.0,31.33012701892219,33.989139809128226,25.330127018922187,8.65901279020604,33.989139809128226,50.0,33.989139809128226,33.989139809128226,0.0,16.010860190871774,0.0,0.0,0.0,0.0,0.8899999999999999,0.0,35.0,0.9711182802608065,critical,0,0.0,0.0,0.0,21.11051692610568,0,0.15,0.0,1.3418464022599474
13,1.0,0.7914814565722671,791.4814565722671,1000.0,0.7914814565722671,791.4814565722671,0.0,0.0,554.037019600587,237.44443697168015,237.44443697168015,0,0.0,0.0,0,0,not_applicable,0,0,0,25.829629131445337,8.699110811789943,25.0,3.0491111260566397,22.0,31.82962913144534,34.52873994323528,25.829629131445337,8.699110811789943,34.52873994323528,48.29629131445341,34.52873994323528,34.52873994323528,0.0,13.767551371218133,0.0,0.0,0.0,0.0,0.8899999999999999,0.0,35.0,0.9865354269495794,critical,0,0.0,0.0,0.0,21.17173822332497,0,0.15,0.0,1.3367880648816413
14,1.0,0.8,800.0,1000.0,0.8,800.0,0.0,0.0,560.0,240.0,240.0,0,0.0,0.0,0,0,not_applicable,0,0,0,25.999999999999993,8.71287779237845,25.0,3.044,22.0,32.0,34.71287779237844,25.999999999999993,8.71287779237845,34.71287779237844,43.30127018922194,34.71287779237844,34.71287779237844,0.0,8.588392396843496,0.0,0.0,0.0,0.0,0.8899999999999999,0.0,35.0,0.9917965083536698,critical,0,0.0,0.0,0.0,21.23566485942919,0,0.15,0.0,1.3351106843222482
15,1.0,0.7914814565722671,791.4814565722671,1000.0,0.7914814565722671,791.4814565722671,0.0,0.0,554.037019600587,237.44443697168015,237.44443697168015,0,0.0,0.0,0,0,not_applicable,0,0,0,25.829629131445337,8.699110811789943,25.0,3.0491111260566397,22.0,31.82962913144534,34.52873994323528,25.829629131445337,8.699110811789943,34.52873994323528,35.35533905932738,34.52873994323528,34.52873994323528,0.0,0.8265991160920976,0.0,0.0,0.0,0.0,0.8899999999999999,0.0,35.0,0.9865354269495794,critical,0,0.0,0.0,0.0,21.296103982065205,0,0.15,0.0,1.3367880648816413
16,1.0,0.7665063509461097,766.5063509461097,1000.0,0.7665063509461097,766.5063509461097,0.0,0.0,536.5544456622767,229.95190528383296,229.95190528383296,0,0.0,0.0,0,0,not_applicable,0,0,0,25.33012701892219,8.65901279020604,25.0,3.064096189432334,22.0,31.330127018922195,33.98913980912823,25.33012701892219,8.65901279020604,33.98913980912823,24.999999999999996,24.999999999999996,24.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.8899999999999999,8.989139809128236,35.0,0.9711182802608066,critical,0,8.989139809128236,8.989139809128236,0.0,21.34711188439526,0,0.15,1.3483709713692353,1.3418464022599477
17,1.0,0.7267766952966369,726.776695296637,1000.0,0.7267766952966369,726.776695296637,0.0,0.0,508.74368670764585,218.0330085889911,218.0330085889911,0,0.0,0.0,0,0,not_applicable,0,0,0,24.535533905932734,8.596028004184488,25.0,3.087933982822018,22.0,30.535533905932738,33.13156191011722,24.535533905932734,8.596028004184488,33.13156191011722,12.940952255126051,12.940952255126051,12.940952255126051,0.0,0.0,50.0,20.19060965499117,20.19060965499117,0.0,0.8191557555965221,0.0,35.0,0.9466160545747777,warning,0,0.0,0.0,0.0,21.38339898716282,0,0.42,0.0,1.3503501508115114
18,1.0,0.675,675.0,1000.0,0.675,675.0,0.0,0.0,472.49999999999994,202.50000000000006,202.50000000000006,0,0.0,0.0,0,0,not_applicable,0,0,0,23.499999999999996,8.51538954793203,25.0,3.1189999999999998,22.0,29.5,32.015389547932024,23.499999999999996,8.51538954793203,32.015389547932024,6.123233995736766e-15,6.123233995736766e-15,6.123233995736766e-15,0.0,0.0,50.0,32.01538954793202,32.01538954793202,0.0,0.7068210554283396,0.0,35.0,0.9147254156552007,warning,0,0.0,0.0,0.0,21.400690243493052,0,0.42,0.0,1.3623570020396607
19,1.0,0.6147047612756303,614.7047612756303,1000.0,0.6147047612756303,614.7047612756303,0.0,0.0,430.2933328929412,184.4114283826891,184.4114283826891,0,0.0,0.0,0,0,not_applicable,0,0,0,21.294095225512606,8.003887065743166,23.67609295524675,3.1551771432346216,22.0,28.294095225512606,29.29798229125577,21.294095225512606,8.003887065743166,29.29798229125577,0.0,0.0,0.0,0.0,0.0,50.0,29.29798229125577,29.29798229125577,0.0,0.6040211175642842,0.0,35.0,0.8370852083215935,warning,0,0.0,0.0,0.0,21.400690243493052,0,0.42,0.0,1.3758735452705992
20,1.0,0.55,550.0,1000.0,0.55,550.0,0.0,0.0,385.0,165.0,165.0,0,0.0,0.0,0,0,not_applicable,0,0,0,19.0,7.027756693254062,20.849654878253475,3.194,22.0,27.0,26.027756693254062,19.0,7.027756693254062,26.027756693254062,0.0,0.0,0.0,0.0,0.0,50.0,26.027756693254062,26.027756693254062,0.0,0.512695655482691,0.0,35.0,0.7436501912358303,normal,0,0.0,0.0,0.0,21.400690243493052,0,0.42,0.0,1.3698819312238981
21,1.0,0.48529523872436997,485.29523872437,1000.0,0.48529523872436997,485.29523872437,0.0,0.0,339.706667107059,145.588571617311,145.588571617311,0,0.0,0.0,0,0,not_applicable,0,0,0,16.7059047744874,6.075070951859532,18.023216801260205,3.232822856765378,22.0,25.705904774487397,22.78097572634693,16.7059047744874,6.075070951859532,22.78097572634693,0.0,0.0,0.0,0.0,0.0,50.0,22.78097572634693,22.78097572634693,0.0,0.4327624073200702,0.0,35.0,0.6508850207527694,normal,0,0.0,0.0,0.0,21.400690243493052,0,0.42,0.0,1.363648125250728
22,1.0,0.42500000000000004,425.00000000000006,1000.0,0.42500000000000004,425.00000000000006,0.0,0.0,297.5,127.50000000000006,127.50000000000006,0,0.0,0.0,0,0,not_applicable,0,0,0,15.500000000000002,5.478481149664568,16.274654878253475,3.269,22.0,24.5,20.97848114966457,15.500000000000002,5.478481149664568,20.97848114966457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4327624073200702,20.97848114966457,35.0,0.5993851757047021,normal,0,20.97848114966457,20.97848114966457,0.0,21.400690243493052,0,0.2,4.195696229932914,1.3534503967525529
23,1.0,0.3732233047033632,373.22330470336317,1000.0,0.3732233047033632,373.22330470336317,0.0,0.0,261.2563132923542,111.96699141100896,111.96699141100896,0,0.0,0.0,0,0,not_applicable,0,0,0,13.464466094067264,4.688743692610039,13.823130714651006,3.300066017177982,22.0,23.464466094067262,18.1532097866773,13.464466094067264,4.688743692610039,18.1532097866773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4327624073200702,18.1532097866773,35.0,0.5186631367622087,normal,0,18.1532097866773,18.1532097866773,0.0,21.400690243493052,0,0.2,3.6306419573354605,1.3482309405997168
